Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
D. Romero,Nacional,LB,25,450000,,22,1693,0,0.57,United States,"United States, Uruguay",left,181,79,yes
N. Ferreira,Remo,"CF, RW, RWF",23,0,2027-06-30,22,1692,1,2.92,Uruguay,Uruguay,right,170,68,yes
F. Perez,Juventud,RCMF,25,0,2025-12-31,29,1686,0,0.9,Uruguay,Uruguay,,0,0,no
C. Mayada,Danubio,"RB, RCMF",34,250000,2025-12-31,19,1680,2,1.4,Uruguay,"Uruguay, Argentina",right,174,73,no
F. Cairus,Racing,"DMF, LCMF, RCMF",25,0,2026-12-31,23,1680,0,0.51,Uruguay,Uruguay,right,177,72,no
A. Cayetano,Liverpool,LB,26,600000,2026-12-31,22,1663,0,1.17,Uruguay,Uruguay,left,179,70,no
N. Bertocchi,Cerro Largo,"LCMF, RCMF, DMF",36,100000,,25,1651,5,3.65,Argentina,"Argentina, Italy",right,190,78,no
B. Larregui,Tolima,CF,24,0,2026-12-31,22,1637,4,6.18,Uruguay,Uruguay,unknown,182,0,yes
P. Lima,Wanderers,RCB,33,175000,,18,1629,1,1.14,Uruguay,Uruguay,right,182,73,no
M. Fernández,Gil Vicente,"RCMF, AMF, LCMF",22,300000,2025-12-31,20,1624,2,1.17,Uruguay,Uruguay,left,171,70,yes
